"Id";"ActivityDate";"TotalSteps";"TotalDistance";"TrackerDistance";"LoggedActivitiesDistance";"VeryActiveDistance";"ModeratelyActiveDistance";"LightActiveDistance";"SedentaryActiveDistance";"VeryActiveMinutes";"FairlyActiveMinutes";"LightlyActiveMinutes";"SedentaryMinutes";"Calories"
1503960366;"3/25/2016";11004;7.1100001335144;7.1100001335144;0;2.5699999332428;0.46000000834465;4.07000017166138;0;33;12;205;804;1819
1503960366;"3/26/2016";17609;11.5500001907349;11.5500001907349;0;6.92000007629395;0.730000019073486;3.91000008583069;0;89;17;274;588;2154
1503960366;"3/27/2016";12736;8.52999973297119;8.52999973297119;0;4.65999984741211;0.159999996423721;3.71000003814697;0;56;5;268;605;1944
1503960366;"3/28/2016";13231;8.93000030517578;8.93000030517578;0;3.19000005722046;0.790000021457672;4.94999980926514;0;39;20;224;1080;1932
1503960366;"3/29/2016";12041;7.84999990463257;7.84999990463257;0;2.16000008583069;1.0900000333786;4.6100001335144;0;28;28;243;763;1886
1503960366;"3/30/2016";10970;7.15999984741211;7.15999984741211;0;2.35999989509583;0.509999990463257;4.28999996185303;0;30;13;223;1174;1820
1503960366;"3/31/2016";12256;7.8600001335144;7.8600001335144;0;2.28999996185303;0.490000009536743;5.03999996185303;0;33;12;239;820;1889
1503960366;"4/1/2016";12262;7.86999988555908;7.86999988555908;0;3.3199999332428;0.829999983310699;3.64000010490417;0;47;21;200;866;1868
1503960366;"4/2/2016";11248;7.25;7.25;0;3.0;0.449999988079071;3.74000000953674;0;40;11;244;636;1843
1503960366;"4/3/2016";10016;6.36999988555908;6.36999988555908;0;0.910000026226044;1.27999997138977;4.17999982833862;0;15;30;314;655;1850
1503960366;"4/4/2016";14557;9.80000019073486;9.80000019073486;0;3.39000010490417;0.699999988079071;5.69000005722046;0;43;18;285;757;2030
1503960366;"4/5/2016";14844;9.72999954223633;9.72999954223633;0;2.94000005722046;0.759999990463257;6.03999996185303;0;36;18;341;736;2083
1503960366;"4/6/2016";11974;7.67000007629395;7.67000007629395;0;2.03999996185303;0.479999989271164;5.15000009536743;0;27;12;228;1173;1861
1503960366;"4/7/2016";10198;6.44000005722046;6.44000005722046;0;1.20000004768372;0.790000021457672;4.44999980926514;0;17;20;195;1208;1755
1503960366;"4/8/2016";12521;7.94000005722046;7.94000005722046;0;3.30999994277954;0.899999976158142;3.74000000953674;0;46;22;212;1160;1895
1503960366;"4/9/2016";12432;8.10000038146973;8.10000038146973;0;2.58999991416931;0.589999973773956;4.92000007629395;0;32;15;248;738;1883
1503960366;"4/10/2016";10057;6.98000001907349;6.98000001907349;0;4.0;0.490000009536743;2.48000001907349;0;44;13;168;737;1755
1503960366;"4/11/2016";10990;7.26000022888184;7.26000022888184;0;2.03999996185303;0.569999992847443;4.65000009536743;0;26;14;216;855;1811
1503960366;"4/12/2016";13162;8.5;8.5;0;1.87999999523163;0.550000011920929;6.05999994277954;0;25;13;328;728;1985
1624580081;"3/25/2016";1810;1.17999994754791;1.17999994754791;0;0.0;0.0;1.12999999523163;0;0;0;121;1319;1373
1624580081;"3/26/2016";815;0.529999971389771;0.529999971389771;0;0.0;0.0;0.529999971389771;0;0;0;47;1393;1264
1624580081;"3/27/2016";1985;1.28999996185303;1.28999996185303;0;0.0;0.0;1.27999997138977;0;0;0;112;1328;1350
1624580081;"3/28/2016";1905;1.24000000953674;1.24000000953674;0;0.0;0.0;1.24000000953674;0;0;0;95;1345;1342
1624580081;"3/29/2016";1552;1.00999999046326;1.00999999046326;0;0.0;0.0;1.0;0;0;0;66;1374;1300
1624580081;"3/30/2016";1675;1.0900000333786;1.0900000333786;0;0.0;0.0;1.0900000333786;0;0;0;84;1356;1313
1624580081;"3/31/2016";4506;2.9300000667572;2.9300000667572;0;0.509999990463257;0.270000010728836;2.15000009536743;0;7;4;144;1285;1498
1624580081;"4/1/2016";9218;5.98999977111816;5.98999977111816;0;0.0;0.0;5.96999979019165;0;0;0;221;1219;1541
1624580081;"4/2/2016";1556;1.00999999046326;1.00999999046326;0;0.0;0.0;1.00999999046326;0;0;0;88;1352;1327
1624580081;"4/3/2016";2910;1.88999998569489;1.88999998569489;0;0.0;0.0;1.87999999523163;0;0;0;157;1283;1452
